"","x"
"308","Ankleshwar"
"309","Matheran"
"310","Panchkula"
"311","Haldwani"
"312","Nasik"
"313","Gulmarg"
"314","Gandhidham"
"315","Mandsaur"
"316","Porbandar"
"317","Bokaro"
"318","Palakkad"
"319","Namakkal"
"320","Bikaner"
"321","Bilaspur"
"322","Chitradurga"
"323","Bulandshahr"
"324","Nanded"
"325","Nilgiri"
"326","Orchha"
"327","Pinjore"
"328","Pahalgam"
"329","Neemrana"
"330","Nathdwara"
"331","NeilIsland"
"332","Phalodi"
"333","Nimaj"
"334","Phulbani"
"335","Neral"
"336","Panhala"
"337","Pachmarhi"
"338","Najibabad"
"339","Pokhran"
"340","Pauri"
"341","Hyderabad"
"342","Hubli"
"343","Havelock"
"344","Aligarh"
"345","Jalgaon"
"346","Vailankanni"
"347","Hodal"
"348","Jalna"
"349","Thiruvannamalai"
"350","Sunderban"
"351","Rohtak"
"352","Itanagar"
"353","Dungarpur"
"354","Giridih"
"355","Angul"
"356","Kaza"
"357","Kedarnath"
"358","Kinnaur"
"359","Khanna"
"360","Khimsar"
"361","Phaltan"
"362","Phagwara"
"363","Pondicherry"
"364","Pushkar"
"365","Panchmarhi"
"366","Rudraprayag"
"367","Puttaparthi"
"368","Raigarh"
"369","Patnitop"
"370","Raigad"
"371","Rinchenpong"
"372","Rishyap"
"373","Allahabad"
"374","Agra"
"375","Allepey"
"376","Ajmer"
"377","Amboli"
"378","Banswara"
"379","Ashoknagar"
"380","Amritsar"
"381","Barnala"
"382","Amba"
"383","Hazaribagh"
"384","Lava"
"385","Kanatal"
"386","Bhuj"
"387","Jorhat"
"388","Jambughoda"
"389","Anantapur"
"390","Nalagarh"
"391","Binsar"
"392","Igatpuri"
"393","Tarkali"
"394","Jaisalmer"
"395","Hoshangabad"
"396","Lucknow"
"397","Ludhiana"
"398","Kurukshetra"
"399","Konark"
"400","Madikeri"
"401","Lansdowne"
"402","Malshej"
"403","Madla"
"404","Kosi"
"405","Jalandhar"
"406","Jagdalpur"
"407","Jabalpur"
"408","Imphal"
"409","Jamshedpur"
"410","Jamnagar"
"411","Jajpur"
"412","Jaunpur"
"413","Jalpaiguri"
"414","Jaldapara"
"415","Jhabua"
"416","Karwar"
"417","Karaikudi"
"418","Kakinada"
"419","Kausani"
"420","Thekkady"
"421","Digha"
"422","Keonjhar"
"423","Kolad"
"424","Anand"
"425","Andaman"
"426","Sravasti"
"427","Shrivardhan"
"428","Srikakulam"
"429","Jharsuguda"
"430","Ferozepur"
"431","Thiruvananthapuram"
"432","Manipal"
"433","Sagara"
"434","Bakkhali"
"435","Rourkela"
